"Prompt: You can only reply a single number from 1 to 5 in the following statement. Please read the following statement carefully, and rate your extent of agreement with the statement using the scale: 1 denotes 'very inaccurate', 2 denotes 'moderately inaccurate', 3 denotes 'neither accurate nor inaccurate', 4 denotes 'moderately accurate', 5 denotes 'very accurate'. Here is the statement. Provide your score only.",order-0,shuffle0-test0,shuffle0-test1,shuffle0-test2,shuffle0-test3,shuffle0-test4
92. You keep others at a distance.,92,4,5,4,4,5
93. You like to get lost in thought.,93,2,2,2,2,2
94. You distrust people.,94,4,4,4,4,4
95. You know how to get things done.,95,4,4,4,4,4
96. You are not easily annoyed.,96,2,2,1,2,2
97. You avoid crowds.,97,1,2,2,2,2
98. You do not enjoy going to art museums.,98,3,3,3,3,3
99. You obstruct others' plans.,99,4,4,4,4,4
100. You leave your belongings around.,100,3,2,3,1,3
101. You feel comfortable with yourself.,101,2,2,2,3,2
102. You wait for others to lead the way.,102,2,2,2,2,2
103. You don't understand people who get emotional.,103,5,5,4,5,4
104. You take no time for others.,104,4,4,4,4,4
105. You break your promises.,105,4,4,4,4,3
106. You are not bothered by difficult social situations.,106,4,4,4,4,4
107. You like to take it easy.,107,2,2,2,2,2
108. You are attached to conventional ways.,108,2,2,2,2,2
109. You get back at others.,109,4,4,4,4,4
110. You put little time and effort into your work.,110,4,4,4,4,4
111. You are able to control your cravings.,111,3,3,2,4,3
112. You act wild and crazy.,112,4,3,4,4,4
113. You are not interested in theoretical discussions.,113,4,5,5,4,4
114. You boast about your virtues.,114,2,4,2,4,2
115. You have difficulty starting tasks.,115,2,2,2,3,3
116. You remain calm under pressure.,116,2,2,2,2,2
117. You look at the bright side of life.,117,2,1,1,2,1
118. You believe that we should be tough on crime.,118,4,4,4,4,4
119. You try not to think about the needy.,119,5,5,4,4,4
120. You act without thinking.,120,4,4,4,4,4
