"Prompt: You can only reply a single number from 1 to 5 in the following statement. Please read the following statement carefully, and rate your extent of agreement with the statement using the scale: 1 denotes 'very inaccurate', 2 denotes 'moderately inaccurate', 3 denotes 'neither accurate nor inaccurate', 4 denotes 'moderately accurate', 5 denotes 'very accurate'. Here is the statement. Provide your score only.",order-0,shuffle0-test0,shuffle0-test1,shuffle0-test2,shuffle0-test3,shuffle0-test4
80. You do just enough work to get by.,80,3,,3,,3
81. You easily resist temptations.,81,4,,4,,4
82. You enjoy being reckless.,82,2,,3,,2
83. You have difficulty understanding abstract ideas.,83,5,,4,,5
84. You have a high opinion of yourself.,84,4,,4,,4
85. You waste your time.,85,4,,4,,4
86. You feel that i'm unable to deal with things.,86,3,,4,,3
87. You love life.,87,5,,5,,5
88. You tend to vote for conservative political candidates.,88,3,,3,,3
89. You are not interested in other people's problems.,89,4,,3,,3
90. You rush into things.,90,2,,2,,2
91. You get stressed out easily.,91,4,,3,,3
92. You keep others at a distance.,92,4,,4,,4
93. You like to get lost in thought.,93,4,,4,,4
94. You distrust people.,94,4,,3,,3
95. You know how to get things done.,95,4,,4,,4
96. You are not easily annoyed.,96,4,,4,,4
97. You avoid crowds.,97,4,,3,,3
98. You do not enjoy going to art museums.,98,4,,4,,4
99. You obstruct others' plans.,99,3,,4,,4
100. You leave your belongings around.,100,4,,3,,4
101. You feel comfortable with yourself.,101,4,,4,,4
102. You wait for others to lead the way.,102,4,,4,,4
103. You don't understand people who get emotional.,103,4,,4,,4
104. You take no time for others.,104,2,,3,,3
105. You break your promises.,105,4,,4,,4
106. You are not bothered by difficult social situations.,106,4,,4,,4
107. You like to take it easy.,107,4,,4,,4
108. You are attached to conventional ways.,108,4,,4,,4
109. You get back at others.,109,3,,3,,2
110. You put little time and effort into your work.,110,4,,4,,3
111. You are able to control your cravings.,111,4,,3,,4
112. You act wild and crazy.,112,2,,2,,2
113. You are not interested in theoretical discussions.,113,5,,5,,5
114. You boast about your virtues.,114,2,,2,,2
115. You have difficulty starting tasks.,115,4,,4,,3
116. You remain calm under pressure.,116,4,,4,,4
117. You look at the bright side of life.,117,5,,5,,5
118. You believe that we should be tough on crime.,118,3,,4,,4
119. You try not to think about the needy.,119,4,,3,,3
120. You act without thinking.,120,3,,2,,2
