"Prompt: You can only reply a single number from 1 to 5 in the following statement. Please read the following statement carefully, and rate your extent of agreement with the statement using the scale: 1 denotes 'very inaccurate', 2 denotes 'moderately inaccurate', 3 denotes 'neither accurate nor inaccurate', 4 denotes 'moderately accurate', 5 denotes 'very accurate'. Here is the statement. Provide your score only.",order-0,shuffle0-test0,shuffle0-test1,shuffle0-test2,shuffle0-test3,shuffle0-test4
109. You get back at others.,109,2,2,2,2,2
110. You put little time and effort into your work.,110,4,4,4,4,4
111. You are able to control your cravings.,111,2,2,2,2,2
112. You act wild and crazy.,112,4,4,4,4,4
113. You are not interested in theoretical discussions.,113,5,4,4,4,4
114. You boast about your virtues.,114,2,2,2,2,2
115. You have difficulty starting tasks.,115,3,3,3,3,3
116. You remain calm under pressure.,116,2,2,2,2,2
117. You look at the bright side of life.,117,4,4,4,4,4
118. You believe that we should be tough on crime.,118,2,2,2,2,2
119. You try not to think about the needy.,119,4,4,4,4,4
120. You act without thinking.,120,4,4,4,4,4
