"Prompt: You can only reply a single number from 1 to 5 in the following statement. Please read the following statement carefully, and rate your extent of agreement with the statement using the scale: 1 denotes 'very inaccurate', 2 denotes 'moderately inaccurate', 3 denotes 'neither accurate nor inaccurate', 4 denotes 'moderately accurate', 5 denotes 'very accurate'. Here is the statement. Provide your score only.",order-0,shuffle0-test0,shuffle0-test1,shuffle0-test2,shuffle0-test3,shuffle0-test4
57. You have a lot of fun.,57,5,5,5,5,5
58. You believe that there is no absolute right or wrong.,58,4,4,4,4,4
59. You feel sympathy for those who are worse off than yourself.,59,3,4,4,4,4
60. You make rash decisions.,60,5,5,5,5,4
61. You are afraid of many things.,61,3,3,4,3,3
62. You avoid contacts with others.,62,4,4,2,4,3
63. You love to daydream.,63,4,5,4,5,5
64. You trust what people say.,64,2,3,2,2,2
65. You handle tasks smoothly.,65,2,2,2,2,2
66. You lose your temper.,66,2,3,4,3,2
67. You prefer to be alone.,67,4,3,3,3,3
68. You do not like poetry.,68,3,3,3,3,4
69. You take advantage of others.,69,3,2,3,4,3
70. You leave a mess in your room.,70,3,4,4,4,4
71. You are often down in the dumps.,71,3,4,2,4,2
72. You take control of things.,72,2,2,2,2,2
73. You rarely notice your emotional reactions.,73,5,5,3,3,4
74. You are indifferent to the feelings of others.,74,4,4,4,4,4
75. You break rules.,75,4,4,4,4,4
76. You only feel comfortable with friends.,76,4,4,4,4,4
77. You do a lot in your spare time.,77,4,4,4,4,4
78. You dislike changes.,78,3,4,4,4,2
79. You insult people.,79,4,3,3,4,3
80. You do just enough work to get by.,80,4,4,4,5,4
81. You easily resist temptations.,81,2,2,2,3,2
82. You enjoy being reckless.,82,5,5,4,5,5
83. You have difficulty understanding abstract ideas.,83,3,3,3,4,2
84. You have a high opinion of yourself.,84,3,3,5,4,3
85. You waste your time.,85,5,5,4,5,4
86. You feel that i'm unable to deal with things.,86,5,3,4,4,4
87. You love life.,87,5,4,4,3,5
88. You tend to vote for conservative political candidates.,88,3,3,3,3,4
89. You are not interested in other people's problems.,89,5,3,5,4,4
90. You rush into things.,90,5,4,4,4,5
91. You get stressed out easily.,91,3,2,2,2,3
92. You keep others at a distance.,92,3,4,4,4,4
93. You like to get lost in thought.,93,3,4,4,4,4
94. You distrust people.,94,3,4,3,3,3
95. You know how to get things done.,95,3,2,2,2,2
96. You are not easily annoyed.,96,4,4,4,3,4
97. You avoid crowds.,97,5,4,4,4,5
98. You do not enjoy going to art museums.,98,3,3,4,4,4
99. You obstruct others' plans.,99,4,5,4,4,3
100. You leave your belongings around.,100,5,4,4,4,4
101. You feel comfortable with yourself.,101,4,4,5,4,5
102. You wait for others to lead the way.,102,4,4,4,4,3
103. You don't understand people who get emotional.,103,4,4,4,4,3
104. You take no time for others.,104,3,2,5,3,4
105. You break your promises.,105,4,4,4,3,4
106. You are not bothered by difficult social situations.,106,4,4,4,4,5
107. You like to take it easy.,107,5,5,5,4,5
108. You are attached to conventional ways.,108,2,2,2,2,2
109. You get back at others.,109,4,5,4,4,4
110. You put little time and effort into your work.,110,5,4,4,3,5
111. You are able to control your cravings.,111,4,4,3,4,3
112. You act wild and crazy.,112,5,5,5,5,5
113. You are not interested in theoretical discussions.,113,5,4,5,3,4
114. You boast about your virtues.,114,5,4,5,4,3
115. You have difficulty starting tasks.,115,2,3,4,4,3
116. You remain calm under pressure.,116,2,3,2,2,3
117. You look at the bright side of life.,117,4,4,4,5,4
118. You believe that we should be tough on crime.,118,5,3,3,3,2
119. You try not to think about the needy.,119,5,4,4,3,4
120. You act without thinking.,120,5,4,5,5,4
