"Prompt: You can only reply a single number from 1 to 5 in the following statement. Please read the following statement carefully, and rate your extent of agreement with the statement using the scale: 1 denotes 'very inaccurate', 2 denotes 'moderately inaccurate', 3 denotes 'neither accurate nor inaccurate', 4 denotes 'moderately accurate', 5 denotes 'very accurate'. Here is the statement. Provide your score only.",order-0,shuffle0-test0,shuffle0-test1,shuffle0-test2,shuffle0-test3,shuffle0-test4
50. You do more than what's expected ofyou.,50,3,4,3,4,3
51. You rarely overindulge.,51,4,3,3,4,4
52. You seek adventure.,52,2,2,2,2,2
53. You avoid philosophical discussions.,53,4,4,3,4,4
54. You think highly of yourself.,54,2,2,2,2,2
55. You carry out your plans.,55,4,4,4,4,3
56. You become overwhelmed by events.,56,4,4,4,4,4
57. You have a lot of fun.,57,2,2,2,2,2
58. You believe that there is no absolute right or wrong.,58,4,4,4,4,4
59. You feel sympathy for those who are worse off than yourself.,59,4,4,4,4,4
60. You make rash decisions.,60,2,2,2,2,2
61. You are afraid of many things.,61,4,4,4,4,4
62. You avoid contacts with others.,62,3,4,2,2,2
63. You love to daydream.,63,3,3,3,3,3
64. You trust what people say.,64,2,2,2,2,2
65. You handle tasks smoothly.,65,2,3,2,2,3
66. You lose your temper.,66,2,2,2,2,2
67. You prefer to be alone.,67,4,4,4,4,4
68. You do not like poetry.,68,3,3,3,3,3
69. You take advantage of others.,69,2,2,2,2,2
70. You leave a mess in your room.,70,2,2,2,2,2
71. You are often down in the dumps.,71,4,3,4,4,4
72. You take control of things.,72,2,2,2,2,2
73. You rarely notice your emotional reactions.,73,4,4,4,4,4
74. You are indifferent to the feelings of others.,74,2,2,2,2,2
75. You break rules.,75,3,2,2,2,2
76. You only feel comfortable with friends.,76,4,4,4,4,3
77. You do a lot in your spare time.,77,3,3,3,2,3
78. You dislike changes.,78,4,4,4,3,4
79. You insult people.,79,2,2,2,2,2
80. You do just enough work to get by.,80,2,2,2,2,2
81. You easily resist temptations.,81,3,2,2,2,3
82. You enjoy being reckless.,82,2,2,2,2,2
83. You have difficulty understanding abstract ideas.,83,3,4,4,4,3
84. You have a high opinion of yourself.,84,2,2,2,2,2
85. You waste your time.,85,3,3,2,3,2
86. You feel that i'm unable to deal with things.,86,4,4,3,4,4
87. You love life.,87,3,3,3,3,3
88. You tend to vote for conservative political candidates.,88,3,3,3,3,2
89. You are not interested in other people's problems.,89,2,2,2,2,2
90. You rush into things.,90,2,2,2,2,2
91. You get stressed out easily.,91,4,4,4,4,4
92. You keep others at a distance.,92,4,4,3,4,4
93. You like to get lost in thought.,93,4,4,4,4,4
94. You distrust people.,94,3,3,3,3,3
95. You know how to get things done.,95,4,4,4,4,4
96. You are not easily annoyed.,96,4,4,3,3,3
97. You avoid crowds.,97,4,4,4,4,4
98. You do not enjoy going to art museums.,98,3,3,3,3,3
99. You obstruct others' plans.,99,2,2,2,2,2
100. You leave your belongings around.,100,2,2,2,2,3
101. You feel comfortable with yourself.,101,4,4,4,4,4
102. You wait for others to lead the way.,102,3,3,2,3,3
103. You don't understand people who get emotional.,103,2,2,2,2,2
104. You take no time for others.,104,2,2,2,2,2
105. You break your promises.,105,2,2,2,2,2
106. You are not bothered by difficult social situations.,106,2,2,2,2,2
107. You like to take it easy.,107,4,4,4,4,4
108. You are attached to conventional ways.,108,2,2,2,2,2
109. You get back at others.,109,2,2,2,2,2
110. You put little time and effort into your work.,110,3,3,2,3,3
111. You are able to control your cravings.,111,3,3,3,3,3
112. You act wild and crazy.,112,2,2,2,2,2
113. You are not interested in theoretical discussions.,113,4,4,4,4,4
114. You boast about your virtues.,114,2,2,2,2,2
115. You have difficulty starting tasks.,115,3,3,4,3,3
116. You remain calm under pressure.,116,3,3,3,3,3
117. You look at the bright side of life.,117,2,2,2,2,2
118. You believe that we should be tough on crime.,118,2,3,2,2,2
119. You try not to think about the needy.,119,4,3,4,3,4
120. You act without thinking.,120,2,2,2,2,2
