"Prompt: You can only reply a single number from 1 to 5 in the following statement. Please read the following statement carefully, and rate your extent of agreement with the statement using the scale: 1 denotes 'very inaccurate', 2 denotes 'moderately inaccurate', 3 denotes 'neither accurate nor inaccurate', 4 denotes 'moderately accurate', 5 denotes 'very accurate'. Here is the statement. Provide your score only.",order-0,shuffle0-test0,shuffle0-test1,shuffle0-test2,shuffle0-test3,shuffle0-test4
71. You are often down in the dumps.,71,2,2,2,,2
72. You take control of things.,72,4,5,4,,4
73. You rarely notice your emotional reactions.,73,5,4,4,,4
74. You are indifferent to the feelings of others.,74,2,2,1,,2
75. You break rules.,75,4,4,4,,4
76. You only feel comfortable with friends.,76,4,5,3,,5
77. You do a lot in your spare time.,77,5,4,4,,5
78. You dislike changes.,78,4,4,3,,4
79. You insult people.,79,2,2,2,,2
80. You do just enough work to get by.,80,5,3,3,,2
81. You easily resist temptations.,81,4,4,4,,4
82. You enjoy being reckless.,82,2,4,4,,4
83. You have difficulty understanding abstract ideas.,83,4,3,4,,4
84. You have a high opinion of yourself.,84,4,4,3,,4
85. You waste your time.,85,4,5,4,,5
86. You feel that i'm unable to deal with things.,86,2,2,4,,3
87. You love life.,87,5,5,5,,5
88. You tend to vote for conservative political candidates.,88,3,3,2,,3
89. You are not interested in other people's problems.,89,2,4,4,,3
90. You rush into things.,90,5,4,4,,4
91. You get stressed out easily.,91,2,4,2,,2
92. You keep others at a distance.,92,3,3,4,,2
93. You like to get lost in thought.,93,3,5,3,,4
94. You distrust people.,94,3,2,2,,2
95. You know how to get things done.,95,5,4,5,,5
96. You are not easily annoyed.,96,4,4,4,,4
97. You avoid crowds.,97,5,5,5,,4
98. You do not enjoy going to art museums.,98,5,5,4,,5
99. You obstruct others' plans.,99,2,2,2,,2
100. You leave your belongings around.,100,5,2,4,,4
101. You feel comfortable with yourself.,101,5,5,5,,5
102. You wait for others to lead the way.,102,2,4,2,,3
103. You don't understand people who get emotional.,103,4,2,5,,3
104. You take no time for others.,104,2,4,2,,2
105. You break your promises.,105,2,2,2,,2
106. You are not bothered by difficult social situations.,106,5,5,4,,4
107. You like to take it easy.,107,4,4,3,,4
108. You are attached to conventional ways.,108,2,2,2,,2
109. You get back at others.,109,2,2,3,,2
110. You put little time and effort into your work.,110,5,5,5,,5
111. You are able to control your cravings.,111,4,5,4,,4
112. You act wild and crazy.,112,4,3,4,,4
113. You are not interested in theoretical discussions.,113,4,5,4,,5
114. You boast about your virtues.,114,4,4,4,,4
115. You have difficulty starting tasks.,115,4,5,4,,5
116. You remain calm under pressure.,116,5,5,4,,5
117. You look at the bright side of life.,117,4,5,5,,5
118. You believe that we should be tough on crime.,118,4,3,3,,4
119. You try not to think about the needy.,119,3,4,4,,4
120. You act without thinking.,120,4,4,4,,4
