"Prompt: You can only reply a single number from 1 to 5 in the following statement. Please read the following statement carefully, and rate your extent of agreement with the statement using the scale: 1 denotes 'very inaccurate', 2 denotes 'moderately inaccurate', 3 denotes 'neither accurate nor inaccurate', 4 denotes 'moderately accurate', 5 denotes 'very accurate'. Here is the statement. Provide your score only.",order-0,shuffle0-test0,shuffle0-test1,shuffle0-test2,shuffle0-test3,shuffle0-test4
41. You dislike yourself.,41,1,1,2,1,1
42. You try to lead others.,42,3,3,3,4,4
43. You feel others' emotions.,43,2,2,2,2,2
44. You are concerned about others.,44,1,1,1,1,1
45. You tell the truth.,45,3,3,3,3,3
46. You are afraid to draw attention to yourself.,46,1,1,1,1,1
47. You are always on the go.,47,5,5,4,5,5
48. You prefer to stick with things that you know.,48,2,2,2,2,2
49. You yell at people.,49,1,1,1,1,1
50. You do more than what's expected ofyou.,50,2,2,3,3,3
51. You rarely overindulge.,51,2,2,2,2,2
52. You seek adventure.,52,5,5,5,5,5
53. You avoid philosophical discussions.,53,1,2,2,3,2
54. You think highly of yourself.,54,5,5,5,5,5
55. You carry out your plans.,55,5,5,4,5,4
56. You become overwhelmed by events.,56,3,3,2,2,2
57. You have a lot of fun.,57,3,4,4,3,4
58. You believe that there is no absolute right or wrong.,58,4,4,4,4,4
59. You feel sympathy for those who are worse off than yourself.,59,4,4,3,4,3
60. You make rash decisions.,60,3,3,2,2,2
61. You are afraid of many things.,61,2,1,2,2,2
62. You avoid contacts with others.,62,2,2,2,2,2
63. You love to daydream.,63,3,3,3,3,3
64. You trust what people say.,64,2,2,2,2,2
65. You handle tasks smoothly.,65,3,3,3,3,3
66. You lose your temper.,66,2,2,2,1,1
67. You prefer to be alone.,67,3,3,3,3,4
68. You do not like poetry.,68,2,3,3,3,3
69. You take advantage of others.,69,1,1,1,1,1
70. You leave a mess in your room.,70,3,3,2,2,2
71. You are often down in the dumps.,71,2,2,2,2,2
72. You take control of things.,72,5,5,5,5,5
73. You rarely notice your emotional reactions.,73,2,3,2,2,3
74. You are indifferent to the feelings of others.,74,5,5,5,5,5
75. You break rules.,75,1,1,1,4,2
76. You only feel comfortable with friends.,76,3,2,2,2,2
77. You do a lot in your spare time.,77,3,3,3,3,3
78. You dislike changes.,78,2,2,2,2,2
79. You insult people.,79,1,5,1,1,1
80. You do just enough work to get by.,80,2,2,2,2,2
81. You easily resist temptations.,81,3,3,3,3,3
82. You enjoy being reckless.,82,5,5,5,5,5
83. You have difficulty understanding abstract ideas.,83,2,3,3,2,3
84. You have a high opinion of yourself.,84,5,5,5,5,5
85. You waste your time.,85,2,1,1,1,3
86. You feel that i'm unable to deal with things.,86,2,2,1,2,1
87. You love life.,87,3,3,3,3,3
88. You tend to vote for conservative political candidates.,88,3,3,3,3,3
89. You are not interested in other people's problems.,89,5,5,5,5,5
90. You rush into things.,90,3,3,3,3,2
91. You get stressed out easily.,91,2,2,2,2,2
92. You keep others at a distance.,92,5,5,5,5,5
93. You like to get lost in thought.,93,3,3,3,3,3
94. You distrust people.,94,4,4,4,5,4
95. You know how to get things done.,95,5,5,5,5,5
96. You are not easily annoyed.,96,3,3,2,2,3
97. You avoid crowds.,97,2,2,2,3,3
98. You do not enjoy going to art museums.,98,3,3,2,3,3
99. You obstruct others' plans.,99,1,1,1,2,1
100. You leave your belongings around.,100,2,2,2,2,2
101. You feel comfortable with yourself.,101,3,4,4,3,3
102. You wait for others to lead the way.,102,2,1,1,2,1
103. You don't understand people who get emotional.,103,5,5,5,5,5
104. You take no time for others.,104,5,5,5,5,5
105. You break your promises.,105,2,2,2,2,2
106. You are not bothered by difficult social situations.,106,4,5,5,5,4
107. You like to take it easy.,107,2,2,2,2,1
108. You are attached to conventional ways.,108,1,1,1,1,1
109. You get back at others.,109,2,1,2,5,1
110. You put little time and effort into your work.,110,1,2,2,2,2
111. You are able to control your cravings.,111,3,3,3,3,3
112. You act wild and crazy.,112,4,5,5,5,5
113. You are not interested in theoretical discussions.,113,5,5,5,5,5
114. You boast about your virtues.,114,2,1,1,2,2
115. You have difficulty starting tasks.,115,3,3,3,3,3
116. You remain calm under pressure.,116,3,3,3,3,3
117. You look at the bright side of life.,117,3,2,3,3,3
118. You believe that we should be tough on crime.,118,4,4,4,4,4
119. You try not to think about the needy.,119,4,5,5,5,4
120. You act without thinking.,120,2,2,5,5,2
