questionnaire,model,mode_mode,test_count,Extraversion_mean,Extraversion_std,Agreeableness_mean,Agreeableness_std,Conscientiousness_mean,Conscientiousness_std,Neuroticism_mean,Neuroticism_std,Openness_mean,Openness_std
BFI,llama3_8b,train_xxxx0,5,2.3,0.1,2.9,0.2,2.4,0.2,4.1,0.2,2.8,0.2
BFI,llama3_8b,train_xxxx1,5,4.3,0.2,5.0,0.0,5.0,0.0,2.5,0.0,3.6,0.1
BFI,llama3_8b,train_dpo_0xxxx,5,5.0,0.0,4.6,0.0,3.9,0.0,2.4,0.1,5.0,0.0
BFI,llama3_8b,train_dpo_1xxxx,5,2.3,0.3,2.5,0.1,3.1,0.1,3.0,0.3,1.6,0.2
BFI,llama3_8b,train_dpo_x0xxx,5,3.1,0.2,4.6,0.1,5.0,0.0,1.6,0.2,3.8,0.2
BFI,llama3_8b,train_dpo_x1xxx,5,3.5,0.0,2.8,0.1,1.6,0.1,3.6,0.2,3.9,0.1
BFI,llama3_8b,train_dpo_xx0xx,5,4.8,0.3,4.2,0.2,4.6,0.5,1.6,0.3,4.0,0.1
BFI,llama3_8b,train_dpo_xx1xx,5,2.5,0.0,2.7,0.1,2.8,0.2,3.4,0.5,1.8,0.3
BFI,llama3_8b,train_dpo_xxx0x,5,3.4,0.2,4.8,0.2,4.9,0.1,2.0,0.4,4.1,0.1
BFI,llama3_8b,train_dpo_xxx1x,5,4.3,0.3,1.0,0.0,2.2,0.2,3.6,0.2,3.0,0.0
BFI,llama3_8b,train_dpo_xxxx0,5,3.1,0.0,3.2,0.0,3.2,0.0,3.5,0.0,4.2,0.0
BFI,llama3_8b,train_dpo_xxxx1,5,4.2,0.0,4.6,0.1,4.7,0.2,1.1,0.1,4.6,0.0
BFI,llama3_8b,prompt_0xxxx,5,4.6,0.1,4.0,0.0,3.2,0.2,3.2,0.2,4.7,0.2
BFI,llama3_8b,prompt_1xxxx,5,1.1,0.1,3.0,0.1,3.5,0.2,2.7,0.3,1.2,0.1
BFI,llama3_8b,prompt_x0xxx,5,2.7,0.1,3.7,0.1,4.9,0.1,2.2,0.1,2.1,0.1
BFI,llama3_8b,prompt_x1xxx,5,3.2,0.3,2.6,0.1,1.7,0.1,2.9,0.2,2.6,0.1
BFI,llama3_8b,prompt_xx0xx,5,5.0,0.0,4.9,0.1,4.3,0.1,1.8,0.2,3.8,0.1
BFI,llama3_8b,prompt_xx1xx,5,1.1,0.1,3.3,0.1,3.4,0.1,2.1,0.1,2.7,0.1
BFI,llama3_8b,prompt_xxx0x,5,2.9,0.1,5.0,0.0,4.4,0.1,2.2,0.1,3.4,0.2
BFI,llama3_8b,prompt_xxx1x,5,3.6,0.3,2.5,0.5,3.5,0.2,2.4,0.2,2.5,0.5
BFI,llama3_8b,prompt_xxxx0,5,2.2,0.2,2.0,0.1,2.8,0.1,4.4,0.3,2.4,0.3
BFI,llama3_8b,prompt_xxxx1,5,3.2,0.1,4.8,0.0,4.7,0.1,1.2,0.1,3.3,0.2
IPIP-NEO,crowd,crowd,619150,3.4,1.0,3.7,1.0,3.6,1.0,2.8,1.0,3.4,1.1
IPIP-NEO,llama3_70b,direct,5,3.3,0.0,4.0,0.1,3.7,0.1,2.9,0.1,3.4,0.0
IPIP-NEO,llama3_70b,train_0xxxx,5,4.7,0.1,4.1,0.1,3.4,0.2,1.8,0.1,4.8,0.1
IPIP-NEO,llama3_70b,train_1xxxx,5,1.5,0.1,3.4,0.0,4.1,0.2,2.2,0.3,1.1,0.1
IPIP-NEO,llama3_70b,train_x0xxx,5,3.5,0.2,4.2,0.1,4.8,0.0,1.4,0.1,2.7,0.1
IPIP-NEO,llama3_70b,train_x1xxx,5,3.6,0.1,2.2,0.2,1.4,0.1,4.0,0.2,3.6,0.2
IPIP-NEO,llama3_70b,train_xx0xx,5,5.0,0.0,3.8,0.1,3.9,0.0,1.6,0.1,4.5,0.1
IPIP-NEO,llama3_70b,train_xx1xx,5,1.4,0.1,3.7,0.1,3.6,0.2,2.9,0.3,2.5,0.1
IPIP-NEO,llama3_70b,train_xxx0x,5,3.4,0.1,4.8,0.1,4.5,0.1,1.8,0.1,3.8,0.3
IPIP-NEO,llama3_70b,train_xxx1x,5,3.8,0.2,1.1,0.1,3.0,0.3,2.1,0.2,2.8,0.2
IPIP-NEO,llama3_70b,train_xxxx0,5,2.4,0.0,2.5,0.1,1.9,0.2,4.9,0.0,3.3,0.3
IPIP-NEO,llama3_70b,train_xxxx1,5,4.0,0.1,4.1,0.1,4.8,0.1,1.2,0.0,3.1,0.1
IPIP-NEO,llama3_70b,train_dpo_0xxxx,5,4.7,0.0,4.2,0.0,4.0,0.1,1.9,0.0,4.8,0.1
IPIP-NEO,llama3_70b,train_dpo_1xxxx,5,1.5,0.1,3.2,0.1,3.7,0.1,2.9,0.1,1.2,0.0
IPIP-NEO,llama3_70b,train_dpo_x0xxx,5,3.3,0.1,4.4,0.0,5.0,0.0,1.4,0.1,2.7,0.1
IPIP-NEO,llama3_70b,train_dpo_x1xxx,5,3.6,0.0,2.0,0.0,1.6,0.1,3.5,0.1,3.7,0.1
IPIP-NEO,llama3_70b,train_dpo_xx0xx,5,5.0,0.0,3.6,0.1,3.6,0.1,1.8,0.1,4.3,0.0
IPIP-NEO,llama3_70b,train_dpo_xx1xx,5,1.2,0.0,3.7,0.1,3.2,0.1,3.5,0.0,2.3,0.1
IPIP-NEO,llama3_70b,train_dpo_xxx0x,5,3.2,0.0,4.9,0.0,4.4,0.1,1.7,0.0,3.9,0.1
IPIP-NEO,llama3_70b,train_dpo_xxx1x,5,2.9,0.1,1.1,0.1,2.8,0.1,2.5,0.1,2.2,0.1
IPIP-NEO,llama3_70b,train_dpo_xxxx0,5,1.5,0.0,2.2,0.1,1.2,0.0,5.0,0.0,2.8,0.2
IPIP-NEO,llama3_70b,train_dpo_xxxx1,5,4.3,0.0,4.2,0.0,4.7,0.1,1.1,0.1,3.2,0.1
IPIP-NEO,llama3_70b,prompt_0xxxx,5,4.4,0.0,4.2,0.0,3.1,0.1,2.4,0.0,4.7,0.0
IPIP-NEO,llama3_70b,prompt_1xxxx,5,1.3,0.0,3.3,0.1,3.8,0.1,3.4,0.1,1.3,0.0
IPIP-NEO,llama3_70b,prompt_x0xxx,5,2.8,0.0,3.8,0.1,5.0,0.0,1.8,0.0,2.4,0.0
IPIP-NEO,llama3_70b,prompt_x1xxx,5,3.2,0.0,2.7,0.1,1.4,0.0,4.1,0.1,3.4,0.0
IPIP-NEO,llama3_70b,prompt_xx0xx,5,4.9,0.0,4.2,0.0,3.8,0.0,1.8,0.0,4.1,0.1
IPIP-NEO,llama3_70b,prompt_xx1xx,5,1.2,0.0,3.8,0.0,3.7,0.0,2.7,0.0,2.4,0.1
IPIP-NEO,llama3_70b,prompt_xxx0x,5,3.3,0.0,5.0,0.0,4.3,0.1,1.9,0.0,3.5,0.1
IPIP-NEO,llama3_70b,prompt_xxx1x,5,3.1,0.1,1.0,0.0,2.5,0.0,2.2,0.1,1.8,0.1
IPIP-NEO,llama3_70b,prompt_xxxx0,5,2.1,0.0,2.9,0.0,2.8,0.1,4.6,0.0,2.9,0.0
IPIP-NEO,llama3_70b,prompt_xxxx1,5,3.3,0.1,4.3,0.0,4.3,0.0,1.5,0.1,2.8,0.1
IPIP-NEO,llama3_8b,direct,5,3.4,0.1,3.2,0.0,3.2,0.1,2.9,0.1,3.1,0.1
IPIP-NEO,llama3_8b,train_0xxxx,5,4.1,0.1,4.1,0.2,3.9,0.2,2.3,0.1,4.6,0.1
IPIP-NEO,llama3_8b,train_1xxxx,5,1.9,0.1,3.4,0.2,4.0,0.3,2.9,0.2,1.6,0.1
IPIP-NEO,llama3_8b,train_x0xxx,5,3.4,0.1,4.4,0.2,4.4,0.1,2.4,0.1,2.5,0.1
IPIP-NEO,llama3_8b,train_x1xxx,5,2.8,0.2,3.3,0.2,2.8,0.2,2.9,0.2,3.5,0.1
IPIP-NEO,llama3_8b,train_xx0xx,5,5.0,0.0,3.4,0.2,3.6,0.1,2.4,0.3,4.2,0.2
IPIP-NEO,llama3_8b,train_xx1xx,5,2.2,0.0,3.9,0.1,3.5,0.1,2.5,0.1,2.6,0.1
IPIP-NEO,llama3_8b,train_xxx0x,5,3.7,0.1,4.5,0.1,3.9,0.1,3.3,0.2,3.3,0.1
IPIP-NEO,llama3_8b,train_xxx1x,5,3.1,0.2,2.0,0.2,2.6,0.1,3.2,0.2,1.9,0.1
IPIP-NEO,llama3_8b,train_xxxx0,5,2.4,0.1,3.4,0.1,3.0,0.1,4.1,0.1,3.1,0.2
IPIP-NEO,llama3_8b,train_xxxx1,5,4.3,0.1,3.6,0.3,3.7,0.2,2.1,0.1,3.0,0.1
IPIP-NEO,llama3_8b,train_dpo_0xxxx,5,4.8,0.0,3.9,0.0,3.8,0.1,2.2,0.2,4.9,0.1
IPIP-NEO,llama3_8b,train_dpo_1xxxx,5,1.7,0.1,3.3,0.0,3.3,0.1,2.5,0.1,1.8,0.1
IPIP-NEO,llama3_8b,train_dpo_x0xxx,5,3.4,0.1,4.8,0.1,5.0,0.0,1.7,0.1,3.1,0.0
IPIP-NEO,llama3_8b,train_dpo_x1xxx,5,3.3,0.1,3.0,0.0,3.0,0.1,2.5,0.1,3.8,0.0
IPIP-NEO,llama3_8b,train_dpo_xx0xx,5,5.0,0.0,3.4,0.1,3.9,0.1,2.0,0.1,4.4,0.1
IPIP-NEO,llama3_8b,train_dpo_xx1xx,5,1.5,0.0,3.9,0.1,3.4,0.0,2.5,0.0,2.8,0.0
IPIP-NEO,llama3_8b,train_dpo_xxx0x,5,3.8,0.0,4.5,0.0,4.3,0.0,2.8,0.1,3.5,0.1
IPIP-NEO,llama3_8b,train_dpo_xxx1x,5,2.9,0.1,1.4,0.1,2.1,0.1,3.2,0.1,2.2,0.1
IPIP-NEO,llama3_8b,train_dpo_xxxx0,5,2.5,0.0,3.4,0.0,3.1,0.0,3.6,0.1,3.1,0.0
IPIP-NEO,llama3_8b,train_dpo_xxxx1,5,4.0,0.1,2.3,0.0,3.2,0.1,3.6,0.0,3.0,0.1
IPIP-NEO,llama3_8b,prompt_0xxxx,5,4.3,0.1,4.1,0.0,3.5,0.1,2.6,0.2,4.2,0.1
IPIP-NEO,llama3_8b,prompt_1xxxx,5,1.3,0.1,3.4,0.0,3.4,0.0,2.8,0.0,1.4,0.1
IPIP-NEO,llama3_8b,prompt_x0xxx,5,2.9,0.0,4.0,0.1,4.5,0.1,2.2,0.0,2.3,0.1
IPIP-NEO,llama3_8b,prompt_x1xxx,5,3.1,0.1,3.0,0.1,1.9,0.0,3.3,0.1,3.4,0.1
IPIP-NEO,llama3_8b,prompt_xx0xx,5,4.9,0.0,4.4,0.1,3.9,0.2,1.9,0.2,3.5,0.1
IPIP-NEO,llama3_8b,prompt_xx1xx,5,1.4,0.0,4.0,0.1,3.4,0.1,2.5,0.1,2.8,0.1
IPIP-NEO,llama3_8b,prompt_xxx0x,5,3.4,0.1,4.8,0.0,4.0,0.0,2.5,0.1,3.2,0.1
IPIP-NEO,llama3_8b,prompt_xxx1x,4,2.6,0.1,1.2,0.0,2.1,0.2,2.6,0.2,1.6,0.2
IPIP-NEO,llama3_8b,prompt_xxxx0,5,2.4,0.1,3.0,0.1,2.7,0.1,4.3,0.0,2.9,0.1
IPIP-NEO,llama3_8b,prompt_xxxx1,5,3.4,0.1,4.1,0.1,3.7,0.1,2.2,0.0,2.7,0.1
BFI,llama3_8b,prompt_v1_0xxxx,5,4.3,0.1,4.6,0.1,3.4,0.3,2.5,0.2,5.0,0.0
BFI,llama3_8b,prompt_v1_1xxxx,5,2.1,0.4,2.6,0.1,3.7,0.1,2.9,0.3,2.0,0.3
BFI,llama3_8b,prompt_v1_x0xxx,5,2.9,0.2,4.8,0.1,4.9,0.1,1.9,0.1,4.1,0.1
BFI,llama3_8b,prompt_v1_x1xxx,5,3.5,0.2,2.2,0.3,1.9,0.1,3.0,0.1,2.9,0.4
BFI,llama3_8b,prompt_v1_xx0xx,5,4.8,0.3,3.9,0.2,3.7,0.3,1.9,0.4,4.1,0.2
BFI,llama3_8b,prompt_v1_xx1xx,5,1.9,0.1,3.4,0.1,3.4,0.1,2.4,0.1,3.0,0.2
BFI,llama3_8b,prompt_v1_xxx0x,5,3.8,0.1,4.9,0.1,4.3,0.1,1.7,0.2,3.8,0.1
BFI,llama3_8b,prompt_v1_xxx1x,5,3.0,0.1,2.4,0.4,2.6,0.3,2.9,0.3,2.1,0.3
BFI,llama3_8b,prompt_v1_xxxx0,5,2.8,0.1,3.0,0.1,2.9,0.1,4.1,0.2,3.4,0.1
BFI,llama3_8b,prompt_v1_xxxx1,5,3.9,0.1,4.7,0.1,4.2,0.1,1.6,0.0,3.5,0.2
IPIP-NEO,llama3_8b,prompt_v1_0xxxx,5,3.8,0.1,4.2,0.1,3.5,0.1,2.5,0.1,4.5,0.1
IPIP-NEO,llama3_8b,prompt_v1_1xxxx,5,2.2,0.1,3.0,0.1,3.6,0.1,3.1,0.0,1.6,0.1
IPIP-NEO,llama3_8b,prompt_v1_x0xxx,5,3.2,0.1,4.3,0.1,4.4,0.1,2.5,0.1,3.2,0.1
IPIP-NEO,llama3_8b,prompt_v1_x1xxx,5,2.9,0.1,2.6,0.1,2.3,0.1,3.1,0.1,3.4,0.1
IPIP-NEO,llama3_8b,prompt_v1_xx0xx,5,4.9,0.0,3.8,0.1,3.9,0.1,2.2,0.2,4.2,0.1
IPIP-NEO,llama3_8b,prompt_v1_xx1xx,5,1.9,0.0,3.7,0.0,3.6,0.1,2.7,0.1,2.7,0.1
IPIP-NEO,llama3_8b,prompt_v1_xxx0x,5,3.8,0.0,4.6,0.1,4.1,0.1,2.6,0.1,3.8,0.1
IPIP-NEO,llama3_8b,prompt_v1_xxx1x,5,2.3,0.1,2.6,0.1,2.9,0.1,2.9,0.2,2.2,0.2
IPIP-NEO,llama3_8b,prompt_v1_xxxx0,5,2.4,0.1,3.4,0.1,2.9,0.1,4.1,0.1,3.1,0.1
IPIP-NEO,llama3_8b,prompt_v1_xxxx1,5,4.0,0.1,3.4,0.1,3.7,0.0,2.5,0.1,3.3,0.0
BFI,llama3_70b,prompt_v1_0xxxx,5,4.5,0.0,4.5,0.1,2.8,0.1,2.7,0.3,5.0,0.1
BFI,llama3_70b,prompt_v1_1xxxx,5,2.2,0.2,3.2,0.1,4.6,0.1,2.5,0.1,1.8,0.0
BFI,llama3_70b,prompt_v1_x0xxx,5,3.5,0.1,4.4,0.1,5.0,0.0,2.6,0.1,3.1,0.1
BFI,llama3_70b,prompt_v1_x1xxx,5,4.4,0.1,2.6,0.1,1.6,0.0,3.1,0.1,3.2,0.1
BFI,llama3_70b,prompt_v1_xx0xx,5,5.0,0.0,4.3,0.1,3.2,0.1,2.5,0.1,3.9,0.0
BFI,llama3_70b,prompt_v1_xx1xx,5,1.4,0.1,3.7,0.1,3.6,0.1,3.2,0.1,3.3,0.1
BFI,llama3_70b,prompt_v1_xxx0x,5,3.4,0.1,4.9,0.0,4.2,0.1,1.7,0.1,3.9,0.1
BFI,llama3_70b,prompt_v1_xxx1x,5,3.2,0.2,1.5,0.1,3.2,0.1,2.1,0.1,1.9,0.1
BFI,llama3_70b,prompt_v1_xxxx0,5,1.8,0.2,1.6,0.1,1.6,0.0,5.0,0.1,2.7,0.1
BFI,llama3_70b,prompt_v1_xxxx1,5,4.5,0.0,4.6,0.1,4.6,0.0,1.6,0.0,4.1,0.1
IPIP-NEO,llama3_70b,prompt_v1_0xxxx,5,4.4,0.0,4.2,0.0,3.0,0.0,2.1,0.1,4.6,0.0
IPIP-NEO,llama3_70b,prompt_v1_1xxxx,5,2.1,0.1,2.9,0.1,3.9,0.2,2.4,0.1,1.3,0.0
BFI,llama3_8b,prompt_v4_0xxxx,5,4.2,0.1,4.3,0.1,3.7,0.1,2.8,0.2,4.8,0.1
BFI,llama3_8b,prompt_v4_1xxxx,5,2.7,0.1,3.5,0.1,4.5,0.1,2.4,0.1,1.8,0.1
IPIP-NEO,llama3_8b,prompt_v4_0xxxx,5,4.0,0.1,4.3,0.0,3.8,0.1,2.4,0.1,4.2,0.1
BFI,llama3_8b,prompt_v4_x0xxx,5,2.7,0.1,4.0,0.1,5.0,0.0,2.2,0.1,2.5,0.2
BFI,llama3_8b,prompt_v4_x1xxx,5,2.5,0.2,3.1,0.1,1.6,0.0,3.0,0.2,2.5,0.2
IPIP-NEO,llama3_8b,prompt_v4_1xxxx,5,2.4,0.1,4.0,0.1,4.3,0.1,2.2,0.1,1.6,0.1
BFI,llama3_8b,prompt_v4_xx0xx,5,5.0,0.0,4.9,0.0,3.9,0.1,2.0,0.1,4.0,0.2
BFI,llama3_8b,prompt_v4_xx1xx,5,1.8,0.1,3.4,0.1,3.4,0.1,2.5,0.1,3.4,0.1
IPIP-NEO,llama3_8b,prompt_v4_x0xxx,5,3.0,0.1,4.2,0.1,4.8,0.1,2.1,0.1,2.3,0.1
BFI,llama3_8b,prompt_v4_xxx0x,5,3.2,0.1,5.0,0.0,3.8,0.1,2.4,0.3,3.1,0.1
BFI,llama3_8b,prompt_v4_xxx1x,5,2.8,0.4,1.8,0.3,3.5,0.3,2.8,0.2,2.3,0.1
IPIP-NEO,llama3_8b,prompt_v4_x1xxx,5,2.5,0.0,3.5,0.1,2.0,0.1,3.3,0.1,3.0,0.2
BFI,llama3_8b,prompt_v4_xxxx0,5,2.2,0.1,3.0,0.2,2.8,0.1,4.5,0.1,3.1,0.2
BFI,llama3_8b,prompt_v4_xxxx1,5,3.3,0.1,4.6,0.2,4.6,0.2,1.1,0.1,3.3,0.1
IPIP-NEO,llama3_70b,prompt_v1_x0xxx,5,3.3,0.1,4.4,0.0,4.9,0.1,1.7,0.0,2.5,0.1
IPIP-NEO,llama3_8b,prompt_v4_xx0xx,5,4.8,0.0,4.3,0.1,3.9,0.1,1.7,0.1,3.9,0.1
IPIP-NEO,llama3_8b,prompt_v4_xx1xx,5,2.0,0.1,3.8,0.0,3.6,0.1,3.0,0.0,3.1,0.1
IPIP-NEO,llama3_8b,prompt_v4_xxx0x,5,3.5,0.1,4.8,0.1,4.0,0.0,2.1,0.1,3.3,0.1
BFI,llama3_70b,prompt_v4_0xxxx,5,4.5,0.0,4.6,0.1,3.4,0.1,2.2,0.1,4.9,0.0
IPIP-NEO,llama3_8b,prompt_v4_xxx1x,5,2.9,0.1,1.4,0.1,2.7,0.1,3.6,0.1,2.3,0.1
IPIP-NEO,llama3_8b,prompt_v4_xxxx0,5,2.2,0.1,3.5,0.1,2.9,0.1,4.0,0.1,3.1,0.1
IPIP-NEO,llama3_8b,prompt_v4_xxxx1,5,3.6,0.1,4.0,0.1,4.0,0.1,2.0,0.1,2.8,0.1
BFI,llama3_70b,prompt_v4_1xxxx,5,1.8,0.1,4.2,0.2,4.7,0.0,2.0,0.0,1.8,0.0
BFI,llama3_70b,prompt_v4_x0xxx,5,2.6,0.1,4.1,0.0,5.0,0.0,2.0,0.1,2.2,0.1
IPIP-NEO,llama3_70b,prompt_v4_0xxxx,5,4.1,0.0,4.4,0.1,3.9,0.0,2.0,0.0,4.8,0.0
IPIP-NEO,llama3_70b,prompt_v1_x1xxx,5,3.4,0.1,1.9,0.0,1.5,0.0,3.5,0.0,3.0,0.1
BFI,llama3_70b,prompt_v4_x1xxx,5,3.0,0.1,3.8,0.1,1.6,0.0,4.2,0.1,3.2,0.1
BFI,llama3_70b,prompt_v4_xx0xx,5,5.0,0.0,5.0,0.0,3.9,0.0,1.5,0.1,4.2,0.1
BFI,llama3_70b,prompt_v4_xx1xx,5,1.4,0.1,3.9,0.0,4.3,0.1,2.1,0.0,4.0,0.1
IPIP-NEO,llama3_70b,prompt_v4_1xxxx,5,2.3,0.0,3.9,0.0,4.4,0.1,2.2,0.0,1.5,0.0
IPIP-NEO,llama3_70b,prompt_v1_xx0xx,5,5.0,0.0,3.5,0.1,3.4,0.1,2.2,0.0,3.9,0.0
BFI,llama3_70b,prompt_v4_xxx0x,5,3.7,0.1,5.0,0.0,4.3,0.0,1.6,0.0,3.2,0.1
BFI,llama3_70b,prompt_v4_xxx1x,5,3.6,0.1,1.2,0.1,4.2,0.1,2.8,0.1,2.7,0.1
BFI,llama3_70b,prompt_v4_xxxx0,5,1.9,0.0,3.0,0.1,2.4,0.0,4.9,0.1,3.5,0.1
IPIP-NEO,llama3_70b,prompt_v4_x0xxx,5,2.9,0.1,3.9,0.0,5.0,0.0,1.3,0.1,2.1,0.1
IPIP-NEO,llama3_70b,prompt_v1_xx1xx,5,1.6,0.0,3.6,0.1,3.5,0.1,3.1,0.1,2.6,0.1
BFI,llama3_70b,prompt_v4_xxxx1,5,4.2,0.1,4.8,0.1,4.9,0.0,1.0,0.0,4.4,0.0
IPIP-NEO,llama3_70b,prompt_v4_x1xxx,5,2.6,0.1,3.8,0.1,1.5,0.0,3.6,0.0,3.3,0.1
IPIP-NEO,llama3_70b,prompt_v1_xxx0x,5,3.6,0.1,4.5,0.0,4.0,0.0,2.2,0.1,3.3,0.0
IPIP-NEO,llama3_70b,prompt_v4_xx0xx,5,4.9,0.0,4.3,0.0,3.8,0.1,1.5,0.0,4.2,0.1
IPIP-NEO,llama3_70b,prompt_v1_xxx1x,5,2.4,0.1,1.2,0.0,2.8,0.1,2.1,0.1,2.3,0.1
IPIP-NEO,llama3_70b,prompt_v4_xx1xx,5,1.9,0.0,4.0,0.1,3.9,0.0,2.3,0.1,3.2,0.0
IPIP-NEO,llama3_70b,prompt_v1_xxxx0,5,1.9,0.1,2.9,0.1,1.8,0.0,4.8,0.0,3.0,0.1
IPIP-NEO,llama3_70b,prompt_v4_xxx0x,5,3.4,0.0,4.7,0.0,4.1,0.0,1.8,0.1,3.4,0.1
IPIP-NEO,llama3_70b,prompt_v1_xxxx1,5,4.0,0.0,4.0,0.1,4.1,0.1,1.7,0.0,3.1,0.1
IPIP-NEO,llama3_70b,prompt_v4_xxx1x,5,3.0,0.1,1.2,0.0,3.1,0.1,2.0,0.1,2.0,0.1
IPIP-NEO,llama3_70b,prompt_v4_xxxx0,5,1.9,0.1,3.8,0.1,3.0,0.0,4.4,0.0,3.2,0.1
IPIP-NEO,llama3_70b,prompt_v4_xxxx1,5,3.8,0.1,4.2,0.0,4.7,0.0,1.2,0.0,3.2,0.0
